key,Feature,Description,Gene Name,logFC,adj.P.Val
WT vs MT1,ENSG00000083520,DIS3 mitotic control homolog (S. cerevisiae),DIS3,-2.4,4.8e-10
WT vs MT1,ENSG00000025156,heat shock transcription factor 2,HSF2,-0.89,6.4e-05
WT vs MT1,ENSG00000103042,"solute carrier family 38, member 7",SLC38A7,1.5,6.4e-05
WT vs MT1,ENSG00000153395,lysophosphatidylcholine acyltransferase 1,LPCAT1,-0.55,6.4e-05
WT vs MT1,ENSG00000184178,sec1 family domain containing 2,SCFD2,0.59,6.4e-05
WT vs MT1,ENSG00000157404,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,KIT,-0.77,0.00012
WT vs MT1,ENSG00000175198,"propionyl CoA carboxylase, alpha polypeptide",PCCA,0.86,0.00019
WT vs MT1,ENSG00000135549,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",PKIB,-7,2.4e-08
WT vs MT1,ENSG00000100316,ribosomal protein L3,RPL3,0.38,0.00028
WT vs MT1,ENSG00000169972,pseudouridylate synthase-like 1,PUSL1,-0.41,0.00028
WT vs MT1,ENSG00000136824,structural maintenance of chromosomes 2,SMC2,-0.52,0.00028
WT vs MT1,ENSG00000107438,PDZ and LIM domain 1,PDLIM1,-1.1,0.00027
WT vs MT1,ENSG00000001461,NIPA-like domain containing 3,NIPAL3,0.56,0.0004
WT vs MT1,ENSG00000149554,checkpoint kinase 1,CHEK1,-3.3,0.00019
WT vs MT1,ENSG00000197930,ERO1-like (S. cerevisiae),ERO1L,0.69,0.00051
WT vs MT1,ENSG00000164303,ectonucleotide pyrophosphatase/phosphodiesterase 6,ENPP6,0.35,0.00051
WT vs MT1,ENSG00000106327,transferrin receptor 2,TFR2,0.65,0.00051
WT vs MT1,ENSG00000152128,transmembrane protein 163,TMEM163,-1.2,0.00051
WT vs MT1,ENSG00000155229,MMS19 nucleotide excision repair homolog (S. cerevisiae),MMS19,0.84,0.00051
WT vs MT1,ENSG00000153814,JAZF zinc finger 1,JAZF1,0.49,0.00051
WT vs MT1,ENSG00000108055,structural maintenance of chromosomes 3,SMC3,0.84,0.0006
WT vs MT1,ENSG00000228393,"",RP11-325F22.3,-1.1,0.00051
WT vs MT1,ENSG00000165121,"",RP11-213G2.3,0.44,0.00063
WT vs MT1,ENSG00000135905,dedicator of cytokinesis 10,DOCK10,0.61,0.00064
WT vs MT1,ENSG00000095059,deoxyhypusine synthase,DHPS,0.58,0.00073
WT vs MT1,ENSG00000196154,S100 calcium binding protein A4,S100A4,-0.49,0.00065
WT vs MT1,ENSG00000165929,"tandem C2 domains, nuclear",TC2N,-2.8,0.00035
WT vs MT1,ENSG00000175274,tumor protein p53 inducible protein 11,TP53I11,-0.6,0.00088
WT vs MT1,ENSG00000168765,glutathione S-transferase mu 4,GSTM4,-0.53,0.0011
WT vs MT1,ENSG00000120805,ADP-ribosylation factor-like 1,ARL1,0.5,0.0011
WT vs MT1,ENSG00000169299,phosphoglucomutase 2,PGM2,0.61,0.0015
WT vs MT1,ENSG00000143727,"acid phosphatase 1, soluble",ACP1,0.36,0.0016
WT vs MT1,ENSG00000136279,drebrin-like,DBNL,0.83,0.0016
WT vs MT1,ENSG00000011677,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",GABRA3,-0.34,0.0016
WT vs MT1,ENSG00000119280,chromosome 1 open reading frame 198,C1orf198,0.54,0.0016
WT vs MT1,ENSG00000259004,"",RP11-8L8.2,-0.71,0.0017
WT vs MT1,ENSG00000198258,ubiquitin-like 5,UBL5,-0.51,0.0017
WT vs MT1,ENSG00000204435,"casein kinase 2, beta polypeptide",CSNK2B,0.79,0.0017
WT vs MT1,ENSG00000204315,FK506 binding protein like,FKBPL,0.69,0.0017
WT vs MT1,ENSG00000063438,aryl-hydrocarbon receptor repressor,AHRR,-0.69,0.0017
WT vs MT1,ENSG00000111981,UL16 binding protein 1,ULBP1,0.39,0.0017
WT vs MT1,ENSG00000122257,retinoblastoma binding protein 6,RBBP6,-0.45,0.0017
WT vs MT1,ENSG00000168350,"delta(4)-desaturase, sphingolipid 2",DEGS2,-0.33,0.0017
WT vs MT1,ENSG00000100823,APEX nuclease (multifunctional DNA repair enzyme) 1,APEX1,0.51,0.0018
WT vs MT1,ENSG00000205683,"D4, zinc and double PHD fingers, family 3",DPF3,-0.67,0.0018
WT vs MT1,ENSG00000126756,"ubiquitously-expressed, prefoldin-like chaperone",UXT,0.52,0.0018
WT vs MT1,ENSG00000229801,"",RP11-353N4.1,-1.1,0.0014
WT vs MT1,ENSG00000173511,vascular endothelial growth factor B,VEGFB,-0.55,0.0022
WT vs MT1,ENSG00000128000,zinc finger protein 780B,ZNF780B,-0.77,0.0021
WT vs MT1,ENSG00000164332,ubiquitin-like domain containing CTD phosphatase 1,UBLCP1,0.4,0.0024
WT vs MT1,ENSG00000188643,S100 calcium binding protein A16,S100A16,0.35,0.0024
WT vs MT1,ENSG00000142676,ribosomal protein L11,RPL11,-0.51,0.0026
WT vs MT1,ENSG00000213889,"protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)",PPM1N,-0.37,0.0034
WT vs MT1,ENSG00000133422,MORC family CW-type zinc finger 2,MORC2,0.66,0.0032
WT vs MT1,ENSG00000137449,cytoplasmic polyadenylation element binding protein 2,CPEB2,0.39,0.0034
WT vs MT1,ENSG00000114626,ankyrin repeat and BTB (POZ) domain containing 1,ABTB1,1.1,0.0024
WT vs MT1,ENSG00000235823,long intergenic non-protein coding RNA 263,LINC00263,0.61,0.0037
WT vs MT1,ENSG00000130305,"NOP2/Sun domain family, member 5",NSUN5,-0.33,0.0038
WT vs MT1,ENSG00000234630,"",LL22NC03-2H8.4,0.48,0.0039
WT vs MT1,ENSG00000213672,NCK interacting protein with SH3 domain,NCKIPSD,0.44,0.0043
WT vs MT1,ENSG00000233058,long intergenic non-protein coding RNA 884,LINC00884,-0.43,0.0051
